Altium Designer Pick and Place Locations
E:\evse\逻辑板\V1.2\Project Outputs for CYAN_EVSE_Logic_board_v1.2\Pick Place for CYAN_EVSE_Logic_board_v1.2.csv

========================================================================================================================
File Design Information:

Date:       23-03-22
Time:       13:27
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"JP16","HDR-1X3","TopLayer","HDR-1X3","44.0000","28.5000","90","3P接插件"
"R49","R","TopLayer","R_0805","62.1430","66.3913","90","贴片电阻"
"JP15","HDR-1X3","TopLayer","HDR-1X3","28.0000","91.0000","90","3P接插件"
"JP14","HDR-1X3","TopLayer","HDR-1X3","35.5000","28.5000","90","3P接插件"
"X2","32.768khz 6pF","TopLayer","XTAL-3215","52.0000","77.5000","270","2脚晶振"
"X1","8M","TopLayer","XTAL-3225","53.0033","84.7681","180","4脚晶振"
"VD4","SMBJ6.8CA","TopLayer","SMB","12.5000","33.0000","270","肖特基二极管"
"VD3","1N4148","TopLayer","SOD-323","18.0000","13.5000","0","高速开关二极管"
"VD2","SMBJ6.8CA","TopLayer","SMB","12.5000","24.5000","90","肖特基二极管"
"VD1","1N4148","TopLayer","SOD-323","44.0000","18.0000","90","高速开关二极管"
"V1","AMS1117-3V3","TopLayer","SOT223_L","61.0000","55.0000","270","三端稳压芯片"
"U1","STM32F103C8T6","TopLayer","LQFP48_7X7_M","41.5127","83.0000","90","Flaah:64/RAM:20/IO:36"
"TP1","DEBUG PAD","TopLayer","DEBUG_PAD2","16.5000","25.1110","0","调试断点焊盘"
"R54","R","TopLayer","R_1206","14.0001","8.5001","0","贴片电阻"
"R52","R","TopLayer","R_0805","32.0000","8.5000","270","贴片电阻"
"R48","R","TopLayer","R_0805","16.0000","70.0000","0","贴片电阻"
"R47","R","TopLayer","R_0805","16.0000","77.0000","0","贴片电阻"
"R46","R","TopLayer","R_0805","21.0000","77.0000","180","贴片电阻"
"R45","R","TopLayer","R_0805","16.0000","61.5000","0","贴片电阻"
"R44","R","TopLayer","R_0805","16.0000","68.0000","0","贴片电阻"
"R43","R","TopLayer","R_0805","21.0000","68.0000","180","贴片电阻"
"R42","R","TopLayer","R_0805","20.5000","21.5000","0","贴片电阻"
"R41","R","TopLayer","R_0805","16.0000","52.5000","0","贴片电阻"
"R40","R","TopLayer","R_0805","58.5000","108.0000","270","贴片电阻"
"R39","R","TopLayer","R_0805","61.5000","108.0000","270","贴片电阻"
"R38","R","TopLayer","R_0805","19.5000","17.5000","270","贴片电阻"
"R37","R","TopLayer","R_0805","40.0000","21.5000","180","贴片电阻"
"R36","R","TopLayer","R_0805","16.0000","59.5000","0","贴片电阻"
"R35","R","TopLayer","R_0805","21.0000","59.5000","180","贴片电阻"
"R34","R","TopLayer","R_0805","16.0000","43.5000","0","贴片电阻"
"R33","R","TopLayer","R_0805","16.0000","50.5000","0","贴片电阻"
"R32","R","TopLayer","R_0805","21.0000","50.5000","180","贴片电阻"
"R31","R","TopLayer","R_0805","25.0000","21.5000","0","贴片电阻"
"R30","R","TopLayer","R_0805","31.0000","21.5000","0","贴片电阻"
"R29","R","TopLayer","R_0805","48.5000","113.0000","270","贴片电阻"
"R28","R","TopLayer","R_0805","41.5000","18.5000","270","贴片电阻"
"R27","R","TopLayer","R_0805","29.5000","114.0000","270","贴片电阻"
"R26","R","TopLayer","R_0805","55.5000","113.0000","270","贴片电阻"
"R25","R","TopLayer","R_0805","55.5000","108.0000","270","贴片电阻"
"R24","R","TopLayer","R_0805","32.5000","105.5000","180","贴片电阻"
"R23","R","TopLayer","R_0805","39.5000","113.0000","270","贴片电阻"
"R22","R","TopLayer","R_0805","11.0000","94.5000","0","贴片电阻"
"R21","R","TopLayer","R_0805","46.5000","113.0000","270","贴片电阻"
"R20","R","TopLayer","R_0805","46.5000","108.0000","270","贴片电阻"
"R19","R","TopLayer","R_0805","25.0000","97.0000","90","贴片电阻"
"R18","R","TopLayer","R_0805","11.0000","114.5000","0","贴片电阻"
"R17","R","TopLayer","R_0805","11.0000","102.5000","0","贴片电阻"
"R16","R","TopLayer","R_0805","25.0000","112.5000","90","贴片电阻"
"R15","R","TopLayer","R_0805","25.0000","105.0000","90","贴片电阻"
"R14","R","TopLayer","R_0805","11.0000","110.5000","180","贴片电阻"
"R13","R","TopLayer","R_0805","11.0000","78.5000","0","贴片电阻"
"R12","R","TopLayer","R_0805","25.0000","81.0000","90","贴片电阻"
"R11","R","TopLayer","R_0805","11.0000","86.5000","0","贴片电阻"
"R10","R","TopLayer","R_0805","25.0000","89.0000","90","贴片电阻"
"R9","R","TopLayer","R_0805","50.7008","26.8260","0","贴片电阻"
"R8","R","TopLayer","R_0805","50.7008","43.8260","0","贴片电阻"
"R7","R","TopLayer","R_0805","50.7008","34.3260","0","贴片电阻"
"R6","R","TopLayer","R_0805","25.0000","32.0000","180","贴片电阻"
"R5","R","TopLayer","R_0805","50.7008","36.3260","0","贴片电阻"
"R4","R","TopLayer","R_0805","20.5000","24.0000","0","贴片电阻"
"R3","R","TopLayer","R_1206","16.4999","30.0001","90","贴片电阻"
"R2","R","TopLayer","R_0805","55.7008","36.3260","0","贴片电阻"
"R1","R","TopLayer","R_0805","25.0000","24.0000","180","贴片电阻"
"Q5","SI2302","TopLayer","SOT23-3N","34.5000","114.0000","0","N沟道场效应管"
"Q4","SI2302","TopLayer","SOT23-3N","11.0000","99.5000","90","N沟道场效应管"
"Q3","SI2302","TopLayer","SOT23-3N","11.0000","107.5000","90","N沟道场效应管"
"Q2","SI2302","TopLayer","SOT23-3N","11.0000","83.5000","90","N沟道场效应管"
"Q1","SI2302","TopLayer","SOT23-3N","11.0000","91.5000","90","N沟道场效应管"
"JP13","HDR-1X5","TopLayer","HDR-1X5","63.0000","84.0400","90","5P接插件"
"JP12","HDR-1X4","TopLayer","MC_1,5/_4-G-3,81","7.0000","72.7150","270","4P接插件"
"JP11","HDR-1X4","TopLayer","XH2.54-4P","62.5000","97.6900","90","4P接插件"
"JP10","HDR-1X4","TopLayer","MC_1,5/_4-G-3,81","7.0000","55.2150","270","4P接插件"
